time,gFx,gFy,gFz,TgF
0.003811769,-0.9632,0.0501,0.2538,0.997
0.004667076,-0.9632,0.0494,0.2520,0.997
0.014124692,-0.9670,0.0431,0.2492,1.000
0.015152384,-0.9690,0.0394,0.2515,1.002
0.01763523,-0.9724,0.0448,0.2531,1.006
0.018279923,-0.9766,0.0450,0.2445,1.008
0.032644846,-0.9932,0.0362,0.2354,1.021
0.033427615,-0.9971,0.0355,0.2298,1.024
0.038921692,-0.9883,0.0308,0.2335,1.016
0.039775923,-0.9832,0.0269,0.2396,1.012
0.048304538,-0.9786,0.0247,0.2506,1.010
0.048882384,-0.9773,0.0238,0.2580,1.011
0.058722692,-0.9802,0.0208,0.2669,1.016
0.059500692,-0.9819,0.0231,0.2709,1.019
0.068640846,-0.9763,0.0215,0.2767,1.015
0.069254153,-0.9737,0.0218,0.2829,1.014
0.078950538,-0.9737,0.0130,0.2834,1.014
0.079634384,-0.9688,0.0164,0.2762,1.008
0.089297846,-0.9802,0.0159,0.2721,1.017
0.090149076,-0.9863,0.0098,0.2650,1.021
0.099251769,-0.9814,0.0096,0.2687,1.018
0.099818538,-0.9795,0.0117,0.2709,1.016
0.109639615,-0.9802,0.0108,0.2672,1.016
0.110371923,-0.9746,0.0054,0.2694,1.011
0.119930461,-0.9751,0.0103,0.2726,1.013
0.120576076,-0.9810,0.0113,0.2831,1.021
0.130226076,-0.9881,0.0117,0.2806,1.027
0.131133846,-0.9895,0.0164,0.2723,1.026
0.140393384,-0.9819,0.0115,0.2650,1.017
0.141175307,-0.9817,0.0108,0.2596,1.016
0.150291461,-0.9851,0.0138,0.2573,1.018
0.15094223,-0.9832,0.0120,0.2533,1.015
0.160518692,-0.9832,0.0152,0.2513,1.015
0.161191846,-0.9805,0.0191,0.2531,1.013
0.173294384,-0.9863,0.0182,0.2548,1.019
0.174300615,-0.9827,0.0169,0.2608,1.017
0.180977,-0.9783,0.0147,0.2587,1.012
0.181518,-0.9721,0.0110,0.2685,1.009
0.191227769,-0.9656,0.0152,0.2755,1.004
0.192040538,-0.9678,0.0140,0.2890,1.010
0.201760153,-0.9719,0.0142,0.2976,1.017
0.202332615,-0.9686,0.0122,0.2983,1.014
0.21183223,-0.9646,0.0128,0.3016,1.011
0.212413384,-0.9568,0.0113,0.3078,1.005
0.224639538,-0.9529,0.0059,0.3065,1.001
0.225472923,-0.9485,0.0028,0.2983,0.994
0.232020846,-0.9460,0.0015,0.2914,0.990
0.232593769,-0.9519,0.0042,0.2794,0.992
0.242176077,-0.9514,0.0003,0.2787,0.991
