time,gFx,gFy,gFz,TgF
0.003023693,-0.9900,0.0557,0.2291,1.018
0.003880539,-0.9844,0.0529,0.2235,1.011
0.00480077,-0.9793,0.0487,0.2259,1.006
0.005856539,-0.9749,0.0499,0.2254,1.002
0.015419077,-0.9795,0.0504,0.2301,1.007
0.016131693,-0.9827,0.0480,0.2396,1.013
0.024771462,-0.9817,0.0523,0.2428,1.013
0.02577577,-0.9856,0.0518,0.2511,1.018
0.033901077,-0.9879,0.0506,0.2501,1.020
0.034495231,-0.9905,0.0501,0.2513,1.023
0.044170385,-0.9928,0.0574,0.2496,1.025
0.045030385,-0.9984,0.0597,0.2506,1.031
0.054684077,-1.0005,0.0602,0.2564,1.035
0.055408231,-0.9959,0.0592,0.2601,1.031
0.065629308,-0.9942,0.0580,0.2504,1.027
0.066321385,-0.9923,0.0590,0.2496,1.025
0.074704154,-0.9961,0.0557,0.2396,1.026
0.07568177,-0.9947,0.0592,0.2333,1.023
0.085051231,-0.9856,0.0592,0.2374,1.016
0.085704616,-0.9849,0.0572,0.2399,1.015
0.095200308,-0.9856,0.0555,0.2435,1.017
0.095904,-0.9835,0.0572,0.2426,1.015
0.105346231,-0.9707,0.0504,0.2420,1.002
0.106199231,-0.9578,0.0520,0.2464,0.990
0.115544846,-0.9576,0.0525,0.2457,0.990
0.116682385,-0.9565,0.0543,0.2457,0.989
0.125994923,-0.9644,0.0574,0.2325,0.994
0.126979154,-0.9756,0.0604,0.2333,1.005
0.136072462,-0.9783,0.0609,0.2315,1.007
0.136957539,-0.9781,0.0562,0.2371,1.008
0.146115539,-0.9719,0.0587,0.2447,1.004
0.146835462,-0.9697,0.0602,0.2482,1.003
0.176647693,-0.9739,0.0634,0.2520,1.008
0.177485308,-0.9773,0.0599,0.2526,1.011
0.178278616,-0.9768,0.0672,0.2573,1.012
0.178954846,-0.9790,0.0653,0.2585,1.015
0.179561308,-0.9790,0.0606,0.2557,1.014
0.180038846,-0.9835,0.0653,0.2562,1.018
