time,gFx,gFy,gFz,TgF
0.005119308,0.0746,-0.0692,0.9731,0.978
0.006465462,0.0753,-0.0732,0.9796,0.985
0.007349308,0.0741,-0.0732,0.9804,0.986
0.008331615,0.0727,-0.0709,0.9804,0.986
0.010789,0.0744,-0.0614,0.9760,0.981
0.011785077,0.0651,-0.0607,0.9764,0.980
0.024716462,0.0619,-0.0639,0.9823,0.986
0.026907923,0.0611,-0.0611,0.9818,0.986
0.044588231,0.0565,-0.0619,0.9864,0.990
0.046538077,0.0607,-0.0619,0.9918,0.996
0.048550231,0.0632,-0.0616,0.9936,0.997
0.050625769,0.0667,-0.0621,0.9992,1.003
0.052094462,0.0688,-0.0614,1.0046,1.009
0.053177385,0.0702,-0.0597,1.0011,1.005
0.064951692,0.0629,-0.0619,1.0021,1.006
0.066220692,0.0574,-0.0616,1.0050,1.009
0.070600308,0.0595,-0.0632,1.0006,1.004
0.072020462,0.0609,-0.0641,0.9980,1.002
0.081280462,0.0570,-0.0621,0.9906,0.994
0.082847,0.0604,-0.0641,0.9885,0.992
0.091299692,0.0458,-0.0623,0.9880,0.991
0.092946,0.0380,-0.0597,0.9899,0.992
0.114901231,0.0397,-0.0629,0.9960,0.999
0.116185231,0.0385,-0.0567,0.9985,1.001
0.117408538,0.0394,-0.0585,0.9978,1.000
0.118407692,0.0380,-0.0563,0.9943,0.997
0.131196231,0.0401,-0.0590,0.9923,0.995
0.132511231,0.0397,-0.0572,0.9985,1.001
0.133512923,0.0436,-0.0583,0.9997,1.002
0.134402,0.0465,-0.0614,1.0029,1.006
0.145875692,0.0555,-0.0639,1.0011,1.005
0.147316846,0.0558,-0.0690,1.0021,1.006
0.163396308,0.0592,-0.0688,1.0043,1.008
0.164607154,0.0565,-0.0680,1.0080,1.012
0.165385615,0.0546,-0.0672,1.0031,1.007
0.16621,0.0560,-0.0668,1.0080,1.012
0.173722923,0.0543,-0.0632,1.0043,1.008
0.175129462,0.0580,-0.0648,1.0006,1.004
0.183121923,0.0553,-0.0651,1.0016,1.005
0.184351615,0.0597,-0.0656,1.0102,1.014
0.200031308,0.0570,-0.0685,1.0092,1.013
0.201765462,0.0551,-0.0636,1.0090,1.012
0.203823462,0.0572,-0.0656,1.0085,1.012
