time,gFx,gFy,gFz,TgF
0.002838616,-0.9802,0.0697,0.2340,1.010
0.003670693,-0.9773,0.0724,0.2318,1.007
0.005767308,-0.9754,0.0734,0.2306,1.005
0.006753923,-0.9800,0.0692,0.2266,1.008
0.016082154,-0.9805,0.0714,0.2217,1.008
0.016901154,-0.9814,0.0760,0.2276,1.010
0.025761385,-0.9868,0.0734,0.2261,1.015
0.026764154,-0.9835,0.0718,0.2276,1.012
0.035906616,-0.9932,0.0739,0.2222,1.020
0.036465923,-0.9895,0.0699,0.2289,1.018
0.046518693,-0.9905,0.0697,0.2318,1.020
0.047380693,-0.9868,0.0699,0.2347,1.017
0.057558693,-0.9790,0.0616,0.2322,1.008
0.058610847,-0.9832,0.0678,0.2328,1.013
0.066559,-0.9830,0.0718,0.2325,1.013
0.067128462,-0.9856,0.0687,0.2308,1.015
0.07672677,-0.9876,0.0670,0.2320,1.017
0.077680308,-0.9900,0.0687,0.2284,1.018
0.087050693,-0.9888,0.0694,0.2296,1.017
0.087671462,-0.9907,0.0680,0.2210,1.017
0.097138539,-0.9963,0.0746,0.2137,1.022
0.097820539,-1.0037,0.0758,0.2110,1.028
0.107730308,-1.0113,0.0804,0.1893,1.032
0.108640539,-1.0008,0.0751,0.2079,1.025
0.117675539,-0.9847,0.0678,0.2443,1.017
0.118281154,-0.9866,0.0662,0.2555,1.021
0.127774462,-0.9825,0.0731,0.2494,1.016
0.128598077,-0.9717,0.0778,0.2347,1.003
0.138166462,-0.9675,0.0780,0.2455,1.001
0.138893616,-0.9700,0.0724,0.2482,1.004
0.149270616,-0.9732,0.0731,0.2438,1.006
0.149940616,-0.9781,0.0763,0.2433,1.011
0.15870977,-0.9863,0.0792,0.2408,1.018
0.159539539,-0.9924,0.0692,0.2282,1.021
0.168595539,-0.9859,0.0729,0.2235,1.014
0.169192539,-0.9749,0.0778,0.2325,1.005
0.178930077,-0.9798,0.0797,0.2467,1.014
0.179637923,-0.9812,0.0785,0.2480,1.015
0.189197385,-0.9800,0.0865,0.2203,1.008
0.189990847,-0.9773,0.0734,0.1912,0.999
0.199590154,-0.9781,0.0643,0.1891,0.998
0.200258616,-0.9876,0.0638,0.2122,1.012
0.209418847,-0.9888,0.0626,0.2284,1.017
0.210195308,-0.9907,0.0638,0.2364,1.021
0.219822154,-0.9910,0.0680,0.2379,1.021
0.220390462,-0.9854,0.0650,0.2391,1.016
0.230091154,-0.9830,0.0675,0.2382,1.014
0.230794616,-1.0049,0.0702,0.2325,1.034
0.240620693,-1.0161,0.0653,0.2298,1.044
0.241606539,-1.0076,0.0636,0.2313,1.036
0.250448385,-1.0086,0.0678,0.2308,1.037
0.25102477,-1.0064,0.0678,0.2286,1.034
0.260391154,-1.0064,0.0718,0.2259,1.034
0.260980847,-1.0101,0.0711,0.2340,1.039
0.270521539,-1.0137,0.0721,0.2379,1.044
0.271102616,-0.9984,0.0706,0.2313,1.027
0.281000693,-0.9868,0.0665,0.2240,1.014
0.28193577,-0.9849,0.0704,0.2193,1.011
0.291230462,-0.9800,0.0692,0.2226,1.007
0.292154847,-0.9714,0.0678,0.2228,0.999
0.301434693,-0.9730,0.0714,0.2238,1.001
0.302032077,-0.9754,0.0655,0.2259,1.003
0.311419847,-0.9779,0.0692,0.2264,1.006
0.312600077,-0.9695,0.0611,0.2217,0.996
0.321866077,-0.9649,0.0623,0.2147,0.990
0.322744539,-0.9707,0.0623,0.2108,0.995
0.331776693,-0.9807,0.0685,0.2186,1.007
0.332850462,-0.9942,0.0660,0.2235,1.021
0.342765923,-0.9819,0.0611,0.2291,1.010
0.344035847,-0.9681,0.0606,0.2303,0.997
0.352111308,-0.9776,0.0582,0.2347,1.007
0.35266977,-0.9793,0.0464,0.2342,1.008
0.362403,-0.9812,0.0550,0.2315,1.010
0.363266154,-0.9854,0.0594,0.2240,1.012
0.373861847,-0.9891,0.0594,0.2271,1.017
0.375051616,-0.9886,0.0616,0.2266,1.016
0.383102924,-0.9827,0.0613,0.2306,1.011
0.383670231,-0.9849,0.0616,0.2352,1.014
0.392927539,-0.9812,0.0606,0.2394,1.012
0.393602308,-0.9807,0.0613,0.2399,1.011
0.403395385,-0.9739,0.0578,0.2433,1.005
0.403978462,-0.9695,0.0550,0.2426,1.001
0.413522924,-0.9668,0.0611,0.2413,0.998
0.414562077,-0.9737,0.0569,0.2374,1.004
0.423781462,-0.9773,0.0616,0.2254,1.005
0.424833924,-0.9814,0.0609,0.2220,1.008
0.433903616,-0.9905,0.0623,0.2226,1.017
0.434471616,-0.9851,0.0606,0.2354,1.015
0.444181462,-0.9795,0.0578,0.2447,1.011
0.445159231,-0.9898,0.0565,0.2426,1.021
0.454467077,-0.9895,0.0580,0.2394,1.020
0.455089462,-0.9912,0.0562,0.2389,1.021
0.464667077,-0.9876,0.0545,0.2362,1.017
0.465659385,-0.9874,0.0580,0.2423,1.018
0.475062308,-0.9881,0.0623,0.2399,1.019
0.475942077,-0.9952,0.0650,0.2261,1.023
0.485180077,-0.9874,0.0660,0.2201,1.014
0.485774154,-0.9895,0.0646,0.2147,1.015
0.495254616,-0.9876,0.0616,0.2145,1.012
0.496144231,-0.9903,0.0621,0.2201,1.016
0.505441616,-0.9895,0.0618,0.2247,1.017
0.506173385,-0.9856,0.0604,0.2296,1.014
0.515574231,-0.9861,0.0650,0.2357,1.016
0.516447154,-0.9863,0.0687,0.2396,1.017
0.525768616,-0.9874,0.0641,0.2377,1.018
0.526353847,-0.9837,0.0660,0.2352,1.014
0.53585777,-0.9822,0.0597,0.2418,1.013
0.536398154,-0.9800,0.0658,0.2447,1.012
0.546083693,-0.9842,0.0678,0.2457,1.017
0.54710877,-0.9842,0.0653,0.2428,1.016
0.55666677,-0.9903,0.0665,0.2294,1.019
0.557678308,-0.9973,0.0670,0.2203,1.024
0.566902308,-0.9966,0.0685,0.2164,1.022
0.56748177,-0.9898,0.0646,0.2245,1.017
0.576558693,-0.9898,0.0667,0.2279,1.018
0.57767277,-0.9903,0.0678,0.2371,1.021
0.586958385,-0.9971,0.0890,0.2222,1.025
0.587554077,-0.9746,0.0692,0.2203,1.002
0.597309077,-0.9707,0.0631,0.2406,1.002
0.598231539,-0.9758,0.0616,0.2418,1.007
0.607487385,-0.9790,0.0662,0.2301,1.008
0.608490924,-0.9832,0.0734,0.2240,1.011
0.617810231,-0.9849,0.0743,0.2226,1.012
0.61833977,-0.9842,0.0683,0.2318,1.013
0.627975693,-0.9779,0.0675,0.2401,1.009
0.628855924,-0.9776,0.0631,0.2369,1.008
0.638360847,-0.9856,0.0702,0.2286,1.014
0.639041,-0.9854,0.0746,0.2233,1.013
0.647937616,-0.9793,0.0716,0.2257,1.008
0.648868308,-0.9788,0.0694,0.2325,1.008
0.658243077,-0.9915,0.0675,0.2377,1.022
0.659134385,-0.9952,0.0655,0.2340,1.024
0.668215308,-0.9973,0.0683,0.2226,1.024
0.668646539,-0.9947,0.0675,0.2164,1.020
0.678589308,-0.9937,0.0658,0.2086,1.017
0.679185539,-1.0003,0.0704,0.2047,1.023
0.692363231,-1.0028,0.0711,0.2049,1.026
0.693261847,-1.0000,0.0721,0.2071,1.024
0.698916154,-0.9952,0.0672,0.2242,1.022
0.699464,-1.0044,0.0706,0.2331,1.033
0.70922777,-1.0042,0.0706,0.2345,1.034
0.710252539,-0.9937,0.0653,0.2362,1.023
0.719713308,-0.9832,0.0621,0.2359,1.013
0.720284077,-0.9861,0.0650,0.2331,1.015
0.729550077,-0.9930,0.0709,0.2240,1.020
0.730584077,-0.9874,0.0699,0.2266,1.015
0.740358693,-0.9827,0.0702,0.2352,1.013
0.74161,-0.9779,0.0690,0.2357,1.008
0.749964693,-0.9837,0.0731,0.2294,1.013
0.750519231,-0.9819,0.0699,0.2313,1.011
0.760162693,-0.9810,0.0697,0.2226,1.008
0.761003077,-0.9863,0.0731,0.2140,1.012
0.770508231,-0.9847,0.0718,0.2128,1.010
0.771122,-0.9866,0.0718,0.2186,1.013
0.780599385,-0.9883,0.0727,0.2213,1.015
0.781614924,-0.9915,0.0709,0.2269,1.020
0.790916847,-1.0010,0.0702,0.2298,1.029
0.792017077,-0.9971,0.0739,0.2279,1.026
0.801383539,-0.9981,0.0690,0.2250,1.025
0.801980616,-0.9888,0.0604,0.2203,1.015
0.811580539,-0.9819,0.0587,0.2252,1.009
0.812687924,-0.9849,0.0621,0.2294,1.013
0.822216847,-0.9886,0.0685,0.2325,1.018
0.823719462,-0.9861,0.0748,0.2294,1.015
0.832385539,-0.9790,0.0743,0.2310,1.009
0.83438577,-0.9810,0.0675,0.2286,1.010
0.847521231,-0.9766,0.0655,0.2291,1.005
0.84904677,-0.9709,0.0660,0.2276,0.999
