time,gFx,gFy,gFz,TgF
0.002986615,-0.9637,0.0371,0.2594,0.999
0.004203923,-0.9565,0.0384,0.2464,0.989
0.005153538,-0.9532,0.0362,0.2254,0.980
0.006114538,-0.9572,0.0357,0.2117,0.981
0.01529123,-0.9681,0.0382,0.2108,0.991
0.016129769,-0.9779,0.0343,0.2059,1.000
0.023887692,-0.9744,0.0350,0.2068,0.997
0.024917538,-0.9817,0.0308,0.2189,1.006
0.033468076,-0.9805,0.0362,0.2269,1.007
0.034142615,-0.9900,0.0424,0.2252,1.016
0.043762615,-0.9935,0.0492,0.2301,1.021
0.044619,-0.9898,0.0531,0.2357,1.019
0.054086538,-0.9932,0.0545,0.2445,1.024
0.054805615,-0.9839,0.0555,0.2428,1.015
0.064214769,-0.9773,0.0482,0.2423,1.008
0.064975461,-0.9719,0.0452,0.2389,1.002
0.075087,-0.9742,0.0452,0.2403,1.004
0.075855769,-0.9768,0.0487,0.2364,1.006
0.084515307,-0.9744,0.0548,0.2450,1.006
0.085142153,-0.9781,0.0531,0.2533,1.012
0.094650769,-0.9756,0.0580,0.2631,1.012
0.095335846,-0.9779,0.0599,0.2625,1.014
0.106909692,-0.9770,0.0638,0.2653,1.014
0.107782615,-0.9768,0.0655,0.2567,1.012
0.115275,-0.9754,0.0667,0.2411,1.007
0.115843076,-0.9770,0.0714,0.2198,1.004
0.125495153,-0.9734,0.0683,0.2105,0.998
0.126265307,-0.9746,0.0636,0.2096,0.999
0.135691384,-0.9814,0.0626,0.2181,1.007
0.136226846,-0.9924,0.0529,0.2369,1.022
0.145703461,-0.9891,0.0516,0.2506,1.022
0.146384076,-0.9870,0.0457,0.2685,1.024
0.15679523,-0.9905,0.0464,0.2780,1.030
0.157646846,-0.9961,0.0504,0.2809,1.036
0.166282769,-0.9973,0.0543,0.2816,1.038
0.166848307,-1.0047,0.0648,0.2923,1.048
0.176321076,-1.0210,0.0816,0.2831,1.063
0.177408076,-1.0252,0.0731,0.2636,1.061
0.186729692,-1.0028,0.0452,0.2291,1.030
0.187318923,-0.9893,0.0401,0.2254,1.015
0.197031153,-0.9756,0.0392,0.2015,0.997
0.197771615,-0.9724,0.0377,0.1851,0.991
0.20711123,-0.9649,0.0357,0.1858,0.983
0.208042923,-0.9730,0.0401,0.2266,1.000
0.217189846,-0.9712,0.0255,0.2484,1.003
0.217770076,-0.9790,0.0218,0.2418,1.009
0.227465153,-0.9830,0.0277,0.2357,1.011
0.228592615,-0.9993,0.0431,0.2259,1.025
0.237757846,-1.0047,0.0511,0.2201,1.030
0.239327153,-1.0037,0.0665,0.2301,1.032
0.247701307,-0.9944,0.0480,0.2010,1.016
0.248620307,-0.9788,0.0431,0.2028,1.000
0.258318076,-0.9681,0.0445,0.1988,0.989
0.259349538,-0.9673,0.0469,0.1998,0.989
0.268333769,-0.9678,0.0670,0.2396,0.999
0.269103538,-0.9612,0.0585,0.2501,0.995
0.278336846,-0.9637,0.0494,0.2589,0.999
0.279327384,-0.9793,0.0420,0.2552,1.013
0.290320769,-0.9868,0.0489,0.2455,1.018
0.291295384,-0.9910,0.0585,0.2331,1.020
0.298753615,-1.0086,0.0731,0.2217,1.035
0.299476538,-1.0145,0.0993,0.2289,1.045
0.309062,-1.0049,0.0958,0.2184,1.033
0.309799846,-0.9854,0.0823,0.2201,1.013
0.319081153,-0.9758,0.0767,0.2242,1.004
0.319759,-0.9675,0.0678,0.2179,0.994
0.333965769,-0.9717,0.0590,0.2222,0.999
0.334960923,-0.9681,0.0469,0.2328,0.997
0.340268384,-0.9779,0.0474,0.2569,1.012
0.341916384,-0.9758,0.0550,0.2726,1.015
0.349624769,-0.9839,0.0538,0.2806,1.025
0.350295,-0.9810,0.0574,0.2713,1.019
0.359853,-0.9781,0.0638,0.2576,1.013
0.361174153,-0.9790,0.0660,0.2518,1.013
0.370052153,-0.9851,0.0606,0.2338,1.014
0.371065769,-0.9849,0.0480,0.2315,1.013
0.380282769,-0.9898,0.0474,0.2152,1.014
0.381398307,-0.9874,0.0460,0.2084,1.010
0.390538,-0.9861,0.0416,0.1981,1.007
0.391942538,-1.0028,0.0348,0.1973,1.023
0.401025076,-1.0010,0.0303,0.1912,1.020
0.401660769,-1.0000,0.0299,0.1786,1.016
0.410761615,-1.0033,0.0408,0.1641,1.017
0.411573615,-0.9986,0.0429,0.1641,1.013
0.421424307,-0.9842,0.0367,0.1749,1.000
0.422090538,-0.9770,0.0291,0.1998,0.998
0.431169076,-0.9690,0.0259,0.2238,0.995
0.431760153,-0.9688,0.0215,0.2504,1.001
0.442409076,-0.9770,0.0279,0.2655,1.013
0.443378769,-0.9930,0.0364,0.2782,1.032
0.45172323,-1.0012,0.0518,0.2836,1.042
0.452292538,-0.9971,0.0550,0.2755,1.036
0.462248307,-0.9886,0.0494,0.2731,1.027
0.463102384,-0.9773,0.0404,0.2797,1.017
0.473520923,-0.9744,0.0440,0.2694,1.012
0.474429615,-0.9754,0.0448,0.2418,1.006
0.482544,-0.9810,0.0523,0.2173,1.006
0.483118538,-0.9786,0.0562,0.2079,1.002
0.492359461,-0.9835,0.0562,0.2054,1.006
0.493314076,-0.9876,0.0480,0.2117,1.011
0.502828615,-0.9940,0.0420,0.2259,1.020
0.503372384,-1.0040,0.0543,0.2366,1.033
0.512707769,-1.0066,0.0516,0.2396,1.036
0.513575692,-0.9952,0.0480,0.2438,1.026
0.523321846,-0.9810,0.0509,0.2438,1.012
0.524215307,-0.9675,0.0464,0.2413,0.998
0.533486538,-0.9637,0.0418,0.2369,0.993
0.534021538,-0.9583,0.0443,0.2254,0.985
0.543427923,-0.9634,0.0399,0.2242,0.990
0.544241076,-0.9702,0.0328,0.2235,0.996
0.553726461,-0.9854,0.0299,0.2286,1.012
0.554327923,-0.9952,0.0255,0.2259,1.021
0.563996307,-1.0030,0.0299,0.2282,1.029
0.564946307,-1.0056,0.0247,0.2254,1.031
0.574109307,-1.0061,0.0215,0.2254,1.031
0.574998923,-1.0068,0.0235,0.2362,1.034
0.584513846,-1.0079,0.0269,0.2413,1.037
0.585085307,-0.9973,0.0313,0.2325,1.025
0.594455384,-0.9863,0.0259,0.2184,1.011
0.595461153,-0.9790,0.0218,0.2177,1.003
0.604860153,-0.9842,0.0220,0.2137,1.007
0.605672153,-0.9842,0.0359,0.2226,1.010
0.614870923,-0.9959,0.0900,0.2335,1.027
0.615735769,-0.9746,0.0731,0.2025,0.998
0.625548692,-0.9509,0.0269,0.2520,0.984
0.626432923,-0.9595,0.0159,0.2713,0.997
0.635423153,-0.9870,0.0120,0.2641,1.022
0.635996384,-0.9947,0.0171,0.2585,1.028
