time,gFx,gFy,gFz,TgF
0.002795923,-0.9825,0.0904,0.1460,0.997
0.00348,-0.9837,0.0909,0.1487,0.999
0.015484076,-0.9910,0.0885,0.1492,1.006
0.016435,-0.9883,0.0921,0.1439,1.003
0.016905,-0.9932,0.0939,0.1418,1.008
0.017359846,-0.9944,0.0904,0.1404,1.008
0.026893538,-0.9973,0.0904,0.1458,1.012
0.027593846,-1.0035,0.0929,0.1448,1.018
0.037067692,-1.0024,0.0965,0.1423,1.017
0.037640384,-1.0044,0.0972,0.1395,1.019
0.047352076,-1.0035,0.0956,0.1465,1.019
0.048262692,-1.0047,0.0953,0.1556,1.021
0.057694538,-1.0068,0.1009,0.1544,1.024
0.058598307,-1.0054,0.1046,0.1578,1.023
0.067651384,-1.0040,0.1027,0.1558,1.021
0.068256923,-0.9973,0.0993,0.1612,1.015
0.077885615,-0.9986,0.1009,0.1575,1.016
0.078578307,-0.9968,0.1044,0.1539,1.014
0.088225769,-0.9981,0.1027,0.1478,1.014
0.08888623,-0.9924,0.1030,0.1387,1.007
0.09828023,-0.9924,0.1081,0.1392,1.008
0.098944923,-0.9900,0.1034,0.1421,1.005
0.108713384,-0.9952,0.1044,0.1439,1.011
0.10963723,-0.9956,0.1009,0.1514,1.012
0.118829384,-0.9949,0.1019,0.1431,1.010
0.119518615,-0.9966,0.0995,0.1343,1.011
0.129010538,-0.9905,0.1005,0.1383,1.005
0.129697153,-0.9883,0.0941,0.1414,1.003
0.149311,-0.9891,0.0988,0.1511,1.005
0.150098923,-0.9905,0.0951,0.1592,1.008
0.150560923,-0.9956,0.0972,0.1670,1.014
0.150938153,-0.9947,0.1044,0.1700,1.015
0.159437615,-0.9944,0.0993,0.1705,1.014
0.160293,-0.9966,0.0919,0.1646,1.014
0.169609692,-1.0030,0.0924,0.1558,1.019
0.170176,-1.0066,0.0990,0.1504,1.023
0.179946615,-1.0089,0.0965,0.1378,1.023
0.180641846,-1.0040,0.0965,0.1278,1.017
0.190781538,-1.0010,0.0968,0.1201,1.013
0.19166223,-1.0030,0.1017,0.1092,1.014
0.200604307,-0.9973,0.1019,0.1055,1.008
0.201177769,-0.9952,0.0941,0.1145,1.006
0.210570461,-0.9930,0.0972,0.1209,1.005
0.211197692,-0.9940,0.0981,0.1285,1.007
0.221253076,-0.9986,0.0941,0.1311,1.012
0.221877384,-0.9968,0.1021,0.1338,1.011
0.230811846,-1.0054,0.1063,0.1404,1.021
0.231402076,-1.0086,0.1021,0.1483,1.025
0.243092076,-1.0128,0.0983,0.1460,1.028
0.243915615,-1.0066,0.0968,0.1358,1.020
0.251288461,-1.0010,0.0939,0.1262,1.013
0.251931615,-1.0049,0.0963,0.1226,1.017
0.261623615,-1.0020,0.1019,0.1262,1.015
0.262372846,-0.9979,0.1019,0.1233,1.011
0.271873692,-0.9968,0.1107,0.1248,1.011
0.272631076,-1.0030,0.1134,0.1262,1.017
0.282257461,-0.9879,0.0968,0.1367,1.002
0.282938076,-0.9898,0.0909,0.1478,1.005
0.292767692,-1.0024,0.0981,0.1495,1.018
0.29354,-1.0000,0.1053,0.1383,1.015
0.302618538,-0.9971,0.1049,0.1321,1.011
0.303188,-0.9935,0.1100,0.1402,1.009
0.312799076,-0.9949,0.1058,0.1421,1.011
0.313373769,-0.9984,0.1083,0.1441,1.015
0.326502153,-1.0005,0.1002,0.1463,1.016
0.327224846,-0.9947,0.0939,0.1458,1.010
0.332969923,-1.0022,0.0932,0.1439,1.017
0.333590076,-1.0079,0.0926,0.1353,1.021
0.343139769,-1.0084,0.0902,0.1285,1.021
0.343997692,-1.0044,0.0941,0.1265,1.017
0.353393769,-1.0024,0.0948,0.1187,1.014
0.353928615,-1.0059,0.0939,0.1206,1.017
0.363391846,-1.0091,0.1019,0.1218,1.022
0.364366846,-1.0174,0.1210,0.1285,1.033
0.374112,-1.0110,0.1078,0.1321,1.025
0.375153,-1.0022,0.0932,0.1467,1.017
0.384209615,-1.0015,0.0968,0.1580,1.019
0.38478923,-1.0003,0.1000,0.1507,1.017
0.394190692,-0.9993,0.1012,0.1490,1.015
0.395097076,-0.9956,0.1046,0.1460,1.012
0.404533,-0.9998,0.1051,0.1458,1.016
0.405204615,-0.9979,0.1114,0.1448,1.014
0.414648538,-0.9996,0.1046,0.1514,1.016
0.415233615,-0.9952,0.1093,0.1485,1.012
0.426536,-0.9961,0.1053,0.1478,1.013
0.42754423,-0.9979,0.1076,0.1395,1.013
0.434844076,-1.0052,0.1098,0.1302,1.020
0.435396769,-1.0054,0.1095,0.1143,1.018
