time,gFx,gFy,gFz,TgF
0.003830538,-1.0010,0.0736,0.2860,1.044
0.004708384,-0.9886,0.0629,0.2873,1.031
0.015648769,-0.9773,0.0626,0.2946,1.023
0.016681692,-0.9653,0.0616,0.2980,1.012
0.017932154,-0.9656,0.0587,0.2953,1.011
0.018529615,-0.9724,0.0606,0.2978,1.019
0.027853384,-0.9724,0.0609,0.3004,1.020
0.028789231,-0.9749,0.0553,0.2988,1.021
0.038057384,-0.9727,0.0480,0.3002,1.019
0.038728615,-0.9688,0.0406,0.2955,1.014
0.048273307,-0.9619,0.0340,0.2985,1.008
0.049214461,-0.9546,0.0235,0.2907,0.998
0.058813769,-0.9480,0.0191,0.2855,0.990
0.059590154,-0.9404,0.0105,0.2860,0.983
0.068714923,-0.9375,0.0035,0.2797,0.978
0.069306384,-0.9287,0.0033,0.2821,0.971
0.078822923,-0.9304,-0.0055,0.2821,0.972
0.079553615,-0.9346,-0.0084,0.2816,0.976
0.090880384,-0.9395,-0.0155,0.2860,0.982
0.091682461,-0.9483,-0.0199,0.2839,0.990
0.099593846,-0.9502,-0.0196,0.2890,0.993
0.100542923,-0.9590,-0.0225,0.2831,1.000
0.109663077,-0.9641,-0.0225,0.2909,1.007
0.110609615,-0.9632,-0.0282,0.3000,1.009
0.119986307,-0.9683,-0.0292,0.3124,1.018
0.120905231,-0.9768,-0.0329,0.3181,1.028
0.131612615,-0.9754,-0.0355,0.3217,1.028
0.132697692,-0.9817,-0.0309,0.3225,1.034
0.140747692,-0.9807,-0.0394,0.3293,1.035
0.141822769,-0.9835,-0.0404,0.3400,1.041
0.150358231,-0.9827,-0.0382,0.3496,1.044
0.151035923,-0.9746,-0.0409,0.3456,1.035
0.160573692,-0.9714,-0.0429,0.3391,1.030
0.161446,-0.9721,-0.0462,0.3317,1.028
0.170733615,-0.9779,-0.0462,0.3266,1.032
0.171323769,-0.9886,-0.0431,0.3197,1.040
0.180974384,-1.0054,-0.0390,0.3144,1.054
0.181682307,-1.0262,-0.0297,0.3181,1.075
0.191234538,-1.0443,-0.0225,0.3146,1.091
0.191937846,-1.0499,-0.0238,0.3058,1.094
0.201450077,-1.0511,-0.0184,0.2995,1.093
0.202120538,-1.0543,-0.0196,0.2951,1.095
0.211510231,-1.0452,-0.0204,0.3014,1.088
0.212373615,-1.0415,-0.0218,0.3014,1.084
0.221690538,-1.0223,-0.0213,0.3097,1.068
0.222347846,-1.0117,-0.0211,0.3205,1.061
0.232015231,-1.0061,-0.0201,0.3286,1.059
0.232794692,-0.9971,-0.0138,0.3356,1.052
0.242067769,-0.9996,-0.0113,0.3375,1.055
0.242857538,-0.9952,-0.0101,0.3444,1.053
0.252403538,-0.9900,-0.0064,0.3428,1.048
0.252990384,-0.9861,-0.0091,0.3379,1.042
0.262423384,-0.9832,-0.0106,0.3393,1.040
0.263106615,-0.9734,-0.0094,0.3326,1.029
0.273551692,-0.9637,-0.0038,0.3225,1.016
0.274361231,-0.9661,0.0008,0.3173,1.017
0.283213307,-0.9649,0.0035,0.3075,1.013
0.283789538,-0.9746,0.0110,0.2983,1.019
0.293212769,-0.9709,0.0133,0.2862,1.012
0.293925615,-0.9637,0.0176,0.2846,1.005
0.303602615,-0.9521,0.0154,0.2843,0.994
0.304361615,-0.9419,0.0169,0.2816,0.983
0.313672923,-0.9272,0.0176,0.2955,0.973
0.314469077,-0.9126,0.0220,0.3051,0.962
0.323829231,-0.9038,0.0208,0.3151,0.957
0.325072846,-0.9033,0.0201,0.3310,0.962
0.334225538,-0.9040,0.0203,0.3442,0.968
0.334797077,-0.9060,0.0171,0.3549,0.973
0.344161846,-0.9067,0.0130,0.3591,0.975
0.345036231,-0.9052,0.0138,0.3542,0.972
0.354447538,-0.9045,0.0103,0.3466,0.969
0.355043461,-0.9020,0.0113,0.3322,0.961
0.364701769,-0.9064,0.0138,0.3286,0.964
0.365600384,-0.9057,0.0091,0.3209,0.961
0.375095692,-0.9038,-0.0069,0.3183,0.958
0.375986307,-0.9036,-0.0055,0.3095,0.955
0.385369077,-0.9008,-0.0196,0.3060,0.952
0.385905231,-0.9004,-0.0184,0.3083,0.952
0.395463846,-0.9001,-0.0241,0.3129,0.953
0.396050384,-0.8987,-0.0299,0.3186,0.954
0.408752923,-0.9101,-0.0334,0.3261,0.967
0.409658538,-0.9173,-0.0399,0.3349,0.977
0.415655307,-0.9187,-0.0416,0.3412,0.981
0.416316154,-0.9221,-0.0516,0.3366,0.983
0.425746077,-0.9229,-0.0536,0.3295,0.981
0.426834154,-0.9258,-0.0485,0.3153,0.979
0.436153154,-0.9343,-0.0495,0.3065,0.985
0.436775307,-0.9451,-0.0460,0.3000,0.993
0.446122,-0.9490,-0.0299,0.2955,0.994
0.446965461,-0.9458,-0.0416,0.2623,0.982
0.457600692,-0.9529,-0.0483,0.2562,0.988
0.458690231,-0.9724,-0.0478,0.2680,1.010
0.466980154,-0.9888,-0.0567,0.2965,1.034
0.467508154,-1.0000,-0.0583,0.3214,1.052
0.476977307,-0.9915,-0.0546,0.3432,1.051
0.477815,-0.9898,-0.0567,0.3584,1.054
0.487091077,-0.9800,-0.0651,0.3735,1.051
0.487668461,-0.9697,-0.0660,0.3803,1.044
0.497518769,-0.9626,-0.0585,0.3610,1.030
0.498082769,-0.9516,-0.0460,0.3317,1.009
0.508614461,-0.9483,-0.0360,0.2983,0.995
0.509573923,-0.9488,-0.0316,0.2858,0.991
0.517841,-0.9495,-0.0262,0.2843,0.991
0.518433923,-0.9378,-0.0245,0.2902,0.982
0.527843538,-0.9441,-0.0316,0.3153,0.996
0.528817154,-0.9558,-0.0365,0.3561,1.021
0.538242846,-0.9763,-0.0414,0.4016,1.057
0.538919461,-1.0030,-0.0392,0.4358,1.094
0.548302231,-1.0287,-0.0350,0.4480,1.123
0.549151846,-1.0513,-0.0225,0.4376,1.139
0.558343846,-1.0750,-0.0157,0.4211,1.155
0.559194461,-1.1144,-0.0115,0.3818,1.178
0.568745923,-1.1689,-0.0028,0.3454,1.219
0.569338692,-1.2309,0.0120,0.2992,1.267
0.579004538,-1.2817,0.0274,0.2492,1.306
0.579850384,-1.3150,0.0452,0.2128,1.333
0.590000923,-1.3303,0.0597,0.2040,1.347
0.590837538,-1.3301,0.0536,0.2091,1.348
0.599404307,-1.3308,0.0401,0.2191,1.349
0.59994,-1.3262,0.0326,0.2408,1.348
0.609524769,-1.3376,0.0340,0.2592,1.363
0.610541692,-1.3406,0.0357,0.2790,1.370
0.620040615,-1.3546,0.0438,0.2978,1.388
0.620732538,-1.3667,0.0613,0.3065,1.402
0.629977154,-1.3804,0.0734,0.3119,1.417
0.630893692,-1.3902,0.0890,0.3178,1.429
0.640187384,-1.3985,0.1037,0.3163,1.438
0.641230307,-1.3811,0.0946,0.3214,1.421
0.650528154,-1.3606,0.0853,0.3168,1.400
0.651110307,-1.3721,0.0660,0.3036,1.407
0.660680384,-1.3953,0.0531,0.2953,1.427
0.661550231,-1.4273,0.0516,0.2921,1.458
0.670842692,-1.4573,0.0501,0.2787,1.485
