time,gFx,gFy,gFz,TgF
0.517788385,-0.9693,0.1146,0.1819,0.993
0.519183308,-0.9541,0.1107,0.2005,0.981
0.520013846,-0.9443,0.1081,0.2149,0.974
0.520790615,-0.9365,0.1068,0.2261,0.969
0.527308923,-0.9355,0.1156,0.2420,0.973
0.528427615,-0.9455,0.1224,0.2633,0.989
0.537273615,-0.9532,0.1235,0.2806,1.001
0.53859,-0.9593,0.1271,0.3065,1.015
0.546892385,-0.9670,0.1254,0.3165,1.025
0.548165308,-0.9721,0.1291,0.3244,1.033
0.557370077,-0.9737,0.1361,0.3263,1.036
0.558811692,-0.9730,0.1364,0.3342,1.038
0.567216077,-0.9788,0.1368,0.3330,1.043
0.568392,-0.9830,0.1386,0.3270,1.045
0.578078923,-0.9893,0.1398,0.3137,1.047
0.579434923,-0.9898,0.1366,0.3065,1.045
0.587884077,-0.9923,0.1373,0.2909,1.043
0.589107539,-0.9954,0.1396,0.2769,1.043
0.598014615,-0.9924,0.1403,0.2767,1.040
0.599232769,-0.9895,0.1359,0.2899,1.040
0.610891154,-0.9814,0.1381,0.2909,1.033
0.611966308,-0.9766,0.1393,0.2951,1.030
0.618386308,-0.9800,0.1398,0.2890,1.031
0.619696154,-0.9830,0.1449,0.2885,1.035
0.628607077,-0.9783,0.1489,0.2834,1.029
0.630141462,-0.9786,0.1491,0.2843,1.030
0.638697154,-0.9773,0.1535,0.2870,1.030
0.639844,-0.9863,0.1586,0.2878,1.040
0.648684462,-0.9854,0.1659,0.2909,1.041
0.650141769,-0.9912,0.1701,0.2870,1.046
0.660611231,-0.9874,0.1713,0.2792,1.040
0.661997462,-0.9895,0.1787,0.2816,1.044
0.669769,-0.9900,0.1823,0.2762,1.044
0.671029231,-0.9891,0.1818,0.2674,1.041
0.680330539,-0.9861,0.1794,0.2616,1.036
0.681855308,-0.9800,0.1792,0.2601,1.030
0.689863539,-0.9742,0.1836,0.2533,1.023
0.69116,-0.9727,0.1787,0.2526,1.021
0.700617615,-0.9732,0.1740,0.2518,1.020
0.702269462,-0.9616,0.1718,0.2533,1.009
0.711174154,-0.9588,0.1689,0.2504,1.005
0.712245385,-0.9504,0.1664,0.2467,0.996
0.720119385,-0.9516,0.1561,0.2371,0.993
0.721513,-0.9556,0.1549,0.2261,0.994
0.730651385,-0.9661,0.1474,0.2205,1.002
0.732047308,-0.9670,0.1398,0.2142,1.000
0.741198308,-0.9686,0.1317,0.2135,1.001
0.742752923,-0.9776,0.1247,0.2161,1.009
0.750856539,-0.9900,0.1149,0.2196,1.021
0.752272846,-0.9917,0.1146,0.2261,1.024
0.760772154,-0.9881,0.1112,0.2266,1.020
0.762130308,-0.9776,0.1019,0.2189,1.007
0.771170462,-0.9668,0.0902,0.2147,0.994
0.772354462,-0.9634,0.0844,0.2108,0.990
0.781588769,-0.9595,0.0795,0.1927,0.982
0.782587154,-0.9629,0.0724,0.1914,0.984
0.802250308,-0.9641,0.0655,0.1900,0.985
0.803504308,-0.9593,0.0611,0.1949,0.981
0.804191539,-0.9546,0.0560,0.1968,0.976
0.804776,-0.9581,0.0545,0.2081,0.982
0.814210231,-0.9602,0.0509,0.2235,0.987
0.815543615,-0.9621,0.0536,0.2371,0.992
0.822259923,-0.9576,0.0506,0.2484,0.991
0.823454231,-0.9519,0.0420,0.2536,0.986
0.832208,-0.9465,0.0367,0.2594,0.982
0.833796154,-0.9314,0.0240,0.2633,0.968
0.846626615,-0.9211,0.0159,0.2689,0.960
0.847830385,-0.9131,-0.0001,0.2758,0.954
0.852935385,-0.9011,-0.0099,0.2829,0.945
0.854208769,-0.8928,-0.0257,0.2855,0.938
0.863670846,-0.8871,-0.0421,0.2867,0.933
0.865195385,-0.9075,-0.0474,0.2853,0.952
0.872968231,-0.9453,-0.0553,0.2911,0.991
0.874533231,-0.9837,-0.0536,0.2967,1.029
0.883583462,-1.0277,-0.0597,0.3014,1.073
0.884951231,-1.0589,-0.0588,0.3039,1.103
0.894105692,-1.0860,-0.0553,0.3137,1.132
0.895292923,-1.1090,-0.0570,0.3170,1.155
0.903899,-1.1279,-0.0504,0.3256,1.175
0.905435692,-1.1423,-0.0478,0.3388,1.192
0.914760923,-1.1503,-0.0411,0.3395,1.200
0.916201923,-1.1545,-0.0343,0.3466,1.206
0.924189,-1.1512,-0.0236,0.3577,1.206
0.926323077,-1.1423,-0.0199,0.3694,1.201
0.934686077,-1.1254,-0.0057,0.3822,1.189
0.936042769,-1.1102,0.0028,0.3869,1.176
0.944629231,-1.0814,0.0084,0.3855,1.148
0.945949154,-1.0477,0.0120,0.3843,1.116
0.955051231,-1.0206,0.0152,0.3796,1.089
0.956306077,-0.9981,0.0203,0.3776,1.067
0.965338462,-0.9863,0.0208,0.3771,1.056
0.966683846,-0.9709,0.0220,0.3679,1.038
0.980046769,-0.9558,0.0240,0.3564,1.020
0.981505539,-0.9443,0.0289,0.3461,1.006
0.985407616,-0.9297,0.0343,0.3286,0.987
0.986477308,-0.9213,0.0371,0.3107,0.973
0.995469385,-0.9162,0.0352,0.2965,0.964
0.996574,-0.9075,0.0362,0.2865,0.952
1.006049616,-0.8928,0.0352,0.2809,0.937
1.007443,-0.8869,0.0357,0.2748,0.929
1.016337308,-0.8782,0.0284,0.2680,0.919
1.018058,-0.8576,0.0191,0.2567,0.895
1.028166154,-0.8481,0.0150,0.2552,0.886
1.029721385,-0.8403,0.0093,0.2599,0.880
1.036697616,-0.8209,-0.0138,0.2536,0.859
1.038243308,-0.8116,-0.0187,0.2423,0.847
1.046649616,-0.8237,-0.0075,0.2423,0.859
1.047858769,-0.8195,-0.0008,0.2564,0.859
1.056748923,-0.8163,-0.0077,0.2655,0.858
1.058642077,-0.8165,-0.0126,0.2709,0.860
1.066831077,-0.8202,-0.0120,0.2587,0.860
1.068343462,-0.8449,-0.0184,0.2806,0.890
1.077485385,-0.8652,-0.0148,0.3190,0.922
1.079013692,-0.8766,-0.0171,0.3324,0.938
1.087665769,-0.8887,-0.0131,0.3305,0.948
1.088873385,-0.8935,-0.0091,0.3178,0.948
1.097802692,-0.9108,-0.0040,0.3119,0.963
1.09891,-0.9362,-0.0052,0.3244,0.991
1.115196846,-0.9593,0.0023,0.3442,1.019
1.117165769,-0.9819,0.0101,0.3586,1.045
1.118450846,-0.9917,0.0089,0.3652,1.057
1.119775692,-0.9966,0.0089,0.3669,1.062
1.131915,-0.9956,0.0010,0.3659,1.061
1.134174231,-0.9917,-0.0075,0.3664,1.057
1.138607231,-1.0035,-0.0148,0.3726,1.070
1.140007616,-1.0110,-0.0164,0.3779,1.079
1.148518077,-1.0122,-0.0162,0.3671,1.077
1.150521616,-1.0152,-0.0133,0.3561,1.076
1.160853077,-1.0091,-0.0128,0.3561,1.070
1.162830616,-1.0135,-0.0180,0.3479,1.072
1.170574846,-1.0068,-0.0169,0.3386,1.062
1.171971,-1.0149,-0.0050,0.3288,1.067
1.179421539,-1.0198,0.0093,0.3190,1.069
1.181658769,-1.0238,0.0184,0.3034,1.068
1.189612692,-1.0194,0.0171,0.2941,1.061
1.191163,-1.0079,0.0120,0.2916,1.049
1.199762308,-0.9895,0.0071,0.2862,1.030
1.202092154,-0.9779,0.0012,0.2911,1.020
1.216726154,-0.9724,-0.0010,0.3190,1.023
1.218962154,-0.9707,-0.0118,0.3561,1.034
1.220234539,-0.9658,-0.0128,0.3815,1.039
1.221653539,-0.9616,-0.0126,0.4006,1.042
