time,gFx,gFy,gFz,TgF
0.002687769,-0.9483,0.1068,0.3000,1.000
0.003553538,-0.9507,0.1076,0.3051,1.004
0.009787384,-0.9570,0.1019,0.3058,1.010
0.010894769,-0.9605,0.1065,0.3109,1.015
0.024989846,-0.9641,0.1053,0.3141,1.019
0.025816231,-0.9624,0.1061,0.3207,1.020
0.029043308,-0.9658,0.1081,0.3178,1.022
0.02978,-0.9602,0.1086,0.3165,1.017
0.039149077,-0.9656,0.1063,0.3112,1.020
0.03983,-0.9673,0.1024,0.3048,1.019
0.049508308,-0.9651,0.1053,0.3023,1.017
0.050578769,-0.9686,0.1030,0.3070,1.021
0.059554769,-0.9673,0.1021,0.3026,1.019
0.060120615,-0.9651,0.1009,0.3072,1.018
0.073076077,-0.9624,0.1009,0.3041,1.014
0.073741461,-0.9597,0.1021,0.3000,1.011
0.081700923,-0.9551,0.1037,0.2997,1.006
0.083011,-0.9544,0.1041,0.2948,1.004
0.090126769,-0.9563,0.1037,0.3012,1.008
0.090788077,-0.9619,0.1009,0.3053,1.014
0.100357846,-0.9661,0.1037,0.3085,1.019
0.101141231,-0.9675,0.1014,0.3116,1.022
0.110582231,-0.9634,0.0993,0.3029,1.015
0.111165308,-0.9593,0.0958,0.2978,1.009
0.120801308,-0.9605,0.1002,0.2907,1.009
0.121661615,-0.9649,0.1009,0.2885,1.012
0.131631461,-0.9646,0.1007,0.2948,1.014
0.132674154,-0.9639,0.0993,0.2941,1.013
0.141279692,-0.9665,0.1037,0.3012,1.018
0.141867308,-0.9705,0.1002,0.2978,1.020
0.151610231,-0.9673,0.0988,0.2992,1.017
0.152367077,-0.9644,0.0965,0.2967,1.014
0.161774077,-0.9641,0.1014,0.2965,1.014
0.162551769,-0.9588,0.1032,0.3014,1.010
0.173071461,-0.9632,0.1056,0.3065,1.016
0.173845769,-0.9612,0.1009,0.3107,1.015
0.182065,-0.9597,0.0985,0.3105,1.013
0.183196077,-0.9576,0.0951,0.3075,1.010
